,fq,mag1,pha1,mag2,pha2
0,10.0,-9.2215,-84.8404,-9.1454,-70.937
1,11.748,-8.1819,-144.876,-8.1171,-131.1534
2,13.803,-8.0395,112.3735,-7.9553,125.9981
3,16.217,-7.5098,8.5943,-7.4317,22.3104
4,19.053,-7.3747,-136.4766,-7.2757,-122.8763
5,22.385,-7.3602,122.3737,-7.2761,135.9431
6,26.3,-7.2237,21.7297,-7.1261,35.2746
7,30.899,-7.0173,-52.566,-6.9242,-39.0344
8,36.302,-7.0228,-107.111,-6.925,-93.605
9,42.651,-7.0576,111.3369,-6.9555,124.8173
10,50.11,-6.8267,-7.8362,-6.7287,5.601
11,58.873,-6.9334,-104.7188,-6.8302,-91.2954
12,69.169,-6.8971,159.4195,-6.7961,172.8351
13,81.265,-6.8612,86.5465,-6.7597,99.9495
14,95.477,-6.8319,-9.4906,-6.7287,3.899
15,112.2,-6.8128,-126.6715,-6.7112,-113.2836
16,131.821,-6.8172,115.3895,-6.7145,128.7601
17,154.874,-6.8311,21.0245,-6.7278,34.3826
18,181.958,-6.7973,-74.16,-6.6936,-60.7989
19,213.779,-6.8343,-145.7773,-6.7316,-132.4282
20,251.164,-6.8006,141.8799,-6.6969,155.227
21,295.088,-6.8056,25.0839,-6.703,38.4283
22,346.692,-6.8196,-24.1507,-6.7162,-10.8147
23,407.321,-6.8072,-140.5647,-6.7039,-127.2298
24,478.552,-6.8183,124.9147,-6.7152,138.2491
25,562.241,-6.8251,53.2465,-6.7222,66.5744
26,660.564,-6.8306,-18.2161,-6.7274,-4.8878
27,776.083,-6.829,-157.0973,-6.726,-143.7713
28,911.803,-6.83,108.6014,-6.727,121.9248
29,1071.511,-6.8288,-164.8553,-6.7261,-151.5325
30,1258.895,-6.8335,100.8533,-6.7307,114.1748
31,1479.049,-6.8406,29.3709,-6.7378,42.6909
32,1737.702,-6.8492,-64.519,-6.7465,-51.1994
33,2041.588,-6.8498,-158.125,-6.7471,-144.8062
34,2398.616,-6.8581,130.2091,-6.7554,143.5267
35,2818.082,-6.8634,58.9959,-6.7607,72.314
36,3310.903,-6.8687,-35.124,-6.766,-21.8064
37,3889.907,-6.872,73.5502,-6.7692,86.8678
38,4570.166,-6.8763,1.9879,-6.7736,15.3041
39,5369.388,-6.8819,-91.219,-6.7792,-77.9034
40,6308.376,-6.8846,-162.6747,-6.782,-149.3598
41,7411.572,-6.8874,103.2366,-6.7847,116.5511
42,8707.693,-6.8927,31.865,-6.79,45.1779
43,10232.908,-6.8943,-61.6973,-6.7917,-48.3828
44,12022.418,-6.8948,-178.3903,-6.7923,-165.0794
45,14124.875,-6.8969,42.9569,-6.7946,56.267
46,16595.005,-6.8985,-73.2267,-6.796,-59.9181
47,19497.107,-6.8989,-144.7132,-6.7966,-131.4051
48,22906.723,-6.8994,121.7016,-6.7971,135.0095
49,26912.605,-6.8996,50.0034,-6.7975,63.3102
50,31619.028,-6.901,-66.1619,-6.7988,-52.8551
51,37148.501,-6.9021,177.4922,-6.7999,-169.2013
52,43644.958,-6.9031,38.6057,-6.8009,51.9123
53,51277.501,-6.9047,-77.8687,-6.8025,-64.5624
54,60244.809,-6.9068,-148.917,-6.8045,-135.6109
55,70780.303,-6.9087,117.1254,-6.8063,130.4312
56,83158.222,-6.9091,-22.2315,-6.8066,-8.9241
57,97700.767,-6.9123,-138.3191,-6.81,-125.0082
58,114813.75,-6.9122,105.4284,-6.81,118.744
59,134892.15,-6.9148,-11.3001,-6.8126,2.0199
60,158481.82,-6.9152,-127.9622,-6.8126,-114.6392
61,186196.81,-6.9178,115.638,-6.8144,128.9636
62,218758.54,-6.9187,-23.321,-6.8145,-9.9931
63,257014.6,-6.9206,-94.8598,-6.8156,-81.5303
64,301960.81,-6.9226,148.6162,-6.8166,161.9466
65,354767.12,-6.9249,54.1836,-6.818,67.5147
66,416808.09,-6.928,-62.3271,-6.8199,-48.9977
67,489698.66,-6.9266,158.0156,-6.8172,171.3416
68,575336.2,-6.9269,86.4323,-6.8164,99.7528
69,675949.85,-6.9237,37.1574,-6.8123,50.4695
70,794158.63,-6.9235,-57.5832,-6.8118,-44.2809
71,933039.51,-6.9262,-175.0536,-6.815,-161.7629
72,1096468.0,-6.9311,90.404,-6.8213,103.6853
73,1288216.1,-6.9374,-4.9269,-6.83,8.3508
74,1513496.8,-6.9382,-122.9199,-6.8337,-109.6386
75,1778174.2,-6.9532,141.9642,-6.8517,155.2549
76,2089137.8,-6.9546,68.6319,-6.8563,81.9396
77,2454482.1,-6.9571,-5.4375,-6.8615,7.8949
78,2883717.0,-6.9572,-101.7421,-6.8637,-88.385
79,3388015.8,-6.9547,116.1672,-6.8629,129.55
80,3980505.3,-6.9445,-26.269,-6.8533,-12.8585
81,4676608.1,-6.9256,-101.8739,-6.835,-88.4276
82,5494444.1,-6.8949,113.9577,-6.8049,127.4442
83,6455301.6,-6.848,-8.3478,-6.7597,5.1769
84,7584192.0,-6.7804,-87.2564,-6.6962,-73.6999
85,8910500.5,-6.6851,-167.0752,-6.6056,-153.4772
86,10471238.0,-6.5662,111.146,-6.4919,124.7685
87,12302427.0,-6.4429,-40.1085,-6.3745,-26.4796
88,14453851.0,-6.347,-148.2913,-6.2846,-134.6829
89,16981512.0,-6.3249,123.0928,-6.2687,136.6479
90,19951206.0,-6.1655,32.8211,-6.1191,46.2867
91,23440233.0,-5.7658,-63.0702,-5.7355,-49.7302
92,27539415.0,-5.5678,-164.7356,-5.5617,-151.5335
93,32355453.0,-5.5287,88.1387,-5.5515,101.181
94,38013711.0,-5.6404,-25.4849,-5.6984,-12.7714
95,44661473.0,-5.956,-146.1575,-6.0553,-134.1009
96,52471783.0,-6.4187,19.6645,-6.5587,31.0348
97,61647945.0,-6.9847,-158.8059,-7.1357,-148.3008
98,72428816.0,-7.4257,-32.5916,-7.5454,-21.85
99,85095024.0,-7.5709,123.6401,-7.6241,134.1281
100,100000000.0,-7.5365,-120.5952,-7.5038,-110.6416
